meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
70,100 Classic Books,DS,14-Jun-10,6.5,/game/ds/100-classic-books,,['Genius Sonority Inc.'],"['Miscellaneous', 'General', 'Application']"
,A Kappa's Trail,DS,14-Jun-10,8.2,/game/ds/a-kappas-trail,E,['Brownie Brown'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
76,Flametail,DS,7-Jun-10,,/game/ds/flametail,E,['Mindware'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'General', 'Puzzle', 'General']"
82,X-Scape,DS,31-May-10,7,/game/ds/x-scape,E10+,['Q-Games'],"['Simulation', 'Action Adventure', 'Sci-Fi', 'Sci-Fi', 'General', 'Space', 'Combat']"
,Phoenix Wright: Ace Attorney Episode 5: Rise From the Ashes,WII,25-May-10,8,/game/wii/phoenix-wright-ace-attorney-episode-5-rise-from-the-ashes,T,['Capcom'],"['Adventure', 'First-Person', 'Modern']"
76,Art Style: light trax,WII,24-May-10,,/game/wii/art-style-light-trax,E,['Skip Ltd.'],"['Miscellaneous', 'General', 'General']"
62,Metal Torrent,DS,24-May-10,9.7,/game/ds/metal-torrent,E,['Arika'],"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
97,Super Mario Galaxy 2,WII,23-May-10,9.1,/game/wii/super-mario-galaxy-2,E,['Nintendo EAD Tokyo '],"['Action', 'Platformer', 'Platformer', '3D', '3D']"
,Kirby Super Star,WII,17-May-10,8.5,/game/wii/kirby-super-star,E,['Hal'],"['Action', 'Platformer', '2D']"
,Looksley's Line Up,DS,17-May-10,,/game/ds/looksleys-line-up,E,['Good-Feel'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Hidden Object', 'General', 'Puzzle', 'General']"
